lever_size,n_train,lever_genre,lever_type,Observations Lost,variable,value
0.5,994169,Drama,poison,0,🎭,0.34
0.55,443626,All,strike,550543,🎭,0.53
0.55,994169,All,poison,0,🎭,0.37
0.55,802593,Comedy,strike,191576,🎭,0.62
0.55,994169,Comedy,poison,0,🎭,0.61
0.55,851097,Action,strike,143072,🎭,0.61
0.55,994169,Action,poison,0,🎭,0.6
0.55,795143,Drama,strike,199026,🎭,0.29
0.55,994169,Drama,poison,0,🎭,0.31
0.6,396459,All,strike,597710,🎭,0.52
0.6,994169,All,poison,0,🎭,0.35
0.6,792583,Comedy,strike,201586,🎭,0.63
0.6,994169,Comedy,poison,0,🎭,0.58
0.6,838617,Action,strike,155552,🎭,0.6
